20241219	20:05:01	9af6b1db-e86b-4ef8-82ba-805f4085c52c	GET	http://localhost:3000	/api/book/c8f46523-930e-49c2-8276-9f6ff37fcd60
20241219	20:05:07	ee3e6a0d-2824-4bcc-8f03-34bee64dfd07	GET	http://localhost:3000	/api/book/c8f46523-930e-49c2-8276-9f6ff37fcd60
20241219	20:05:23	9a1d1a19-b011-4a7f-8621-3bada430d6d5	GET	http://localhost:3000	/api/book/c8f46523-930e-49c2-8276-9f6ff37fcd60
20241219	20:05:35	65840dcf-e4f8-43e9-9909-414346c7e827	GET	http://localhost:3000	/api/book/c8f46523-930e-49c2-8276-9f6ff37fcd60
20241219	20:05:49	0e9f8c58-1cf8-44aa-8f89-085d5f9d0b4a	GET	http://localhost:3000	/api/book/c8f46523-930e-49c2-8276-9f6ff37fcd60
20241219	20:05:54	292c235c-8b87-4637-9050-ca322a9abc83	GET	http://localhost:3000	/api/book/c8f46523-930e-49c2-8276-9f6ff37fcd60
20241219	20:05:59	fc3b907b-efa6-49d6-9d0d-bf357dc41348	GET	http://localhost:3000	/api/book/c8f46523-930e-49c2-8276-9f6ff37fcd60
20241219	20:06:22	2c98df2a-ee02-4902-82ce-e0d9a6eaa7ce	GET	http://localhost:3000	/api/book/c8f46523-930e-49c2-8276-9f6ff37fcd60
20241219	20:06:31	677edb9c-b7cd-462c-b8f9-57a8059688c9	GET	http://localhost:3000	/api/book/c8f46523-930e-49c2-8276-9f6ff37fcd60
20241219	20:07:40	ca9e89fd-29af-4c22-a30f-0d60e70d5700	GET	http://localhost:3000	/api/book/c8f46523-930e-49c2-8276-9f6ff37fcd60
20241219	20:08:07	4c46ee02-a715-47c7-9c82-e9ec287fea01	GET	http://localhost:3000	/api/book/c8f46523-930e-49c2-8276-9f6ff37fcd60
20241219	20:08:10	51e8b4d1-8634-40ff-a6ca-fb71a798c0a7	OPTIONS	http://localhost:3000	/api/book/cm4vbkije0002tydsuw57zkgy
20241219	20:08:10	f50efacc-442b-4c8c-b8cd-ef7189926391	DELETE	http://localhost:3000	/api/book/cm4vbkije0002tydsuw57zkgy
20241219	20:08:17	d0a7a652-ab73-4d76-80c7-60497cd5aae6	GET	http://localhost:3000	/api/book/c8f46523-930e-49c2-8276-9f6ff37fcd60
20241219	20:08:22	c33f7525-28ab-401d-87d2-8db4e22130df	GET	http://localhost:3000	/api/book/c8f46523-930e-49c2-8276-9f6ff37fcd60
20241219	20:08:36	6db69d0c-8239-41b6-aa84-0976c17f0217	GET	http://localhost:3000	/api/book/c8f46523-930e-49c2-8276-9f6ff37fcd60
20241219	20:08:41	5983cf62-9588-42d4-863d-8efa04b9e6c9	GET	http://localhost:3000	/api/book/c8f46523-930e-49c2-8276-9f6ff37fcd60
20241219	20:08:47	b4554caf-3eb4-4d2e-bd92-25739a90d007	OPTIONS	http://localhost:3000	/api/book/cm4v6jj7g0000tydskodr8x9r
20241219	20:08:47	40bf6685-4692-4ba4-86f1-6684d2962769	DELETE	http://localhost:3000	/api/book/cm4v6jj7g0000tydskodr8x9r
20241219	20:08:53	ae880977-8389-4bc3-980c-80560dc5d0ed	GET	http://localhost:3000	/api/book/c8f46523-930e-49c2-8276-9f6ff37fcd60
20241219	20:08:54	d245cdb2-0657-420b-b8ee-8969040013c1	GET	http://localhost:3000	/api/book/c8f46523-930e-49c2-8276-9f6ff37fcd60
20241219	20:09:16	7409975f-779f-4208-a962-1fe27c23622d	GET	http://localhost:3000	/api/book/c8f46523-930e-49c2-8276-9f6ff37fcd60
20241219	20:09:33	4c884803-e25a-44da-8db1-dedc64e6e8aa	GET	http://localhost:3000	/api/book/c8f46523-930e-49c2-8276-9f6ff37fcd60
20241219	20:09:36	6a122834-c620-4e71-b223-0d44d89e192d	GET	http://localhost:3000	/api/book/c8f46523-930e-49c2-8276-9f6ff37fcd60
20241219	20:09:54	4e37900c-cb73-4431-b682-6c89c3ac8754	GET	http://localhost:3000	/api/book/c8f46523-930e-49c2-8276-9f6ff37fcd60
20241219	20:10:02	8bc9312d-7e67-4810-baf4-c926332bb2cc	GET	http://localhost:3000	/api/book/c8f46523-930e-49c2-8276-9f6ff37fcd60
20241219	20:10:17	3c684c49-8b0d-45c4-a1fa-61c5649f2314	GET	http://localhost:3000	/api/book/c8f46523-930e-49c2-8276-9f6ff37fcd60
20241219	20:10:23	aa6d9798-e77d-404e-bf37-e3a19fcfa742	GET	http://localhost:3000	/api/book/c8f46523-930e-49c2-8276-9f6ff37fcd60
20241219	20:10:32	96200240-8111-49da-9223-5fbcef101a51	GET	http://localhost:3000	/api/book/c8f46523-930e-49c2-8276-9f6ff37fcd60
20241219	20:10:46	9a66ccc1-4368-4d8f-ba4e-e8f913da39a1	GET	http://localhost:3000	/api/book/c8f46523-930e-49c2-8276-9f6ff37fcd60
20241219	20:10:53	c232565d-714a-4a13-9398-109e4ba37d1e	GET	http://localhost:3000	/api/book/c8f46523-930e-49c2-8276-9f6ff37fcd60
20241219	20:11:02	eee9b561-7644-4547-8369-980f6f3c3dc9	GET	http://localhost:3000	/api/book/c8f46523-930e-49c2-8276-9f6ff37fcd60
20241219	20:11:11	7ef54425-eadd-44ec-ad25-d1b631f74661	GET	http://localhost:3000	/api/book/c8f46523-930e-49c2-8276-9f6ff37fcd60
20241219	20:11:25	c3622f03-b859-4d27-8d26-99778bc36fc1	GET	http://localhost:3000	/api/book/c8f46523-930e-49c2-8276-9f6ff37fcd60
20241219	20:11:37	0ebbc462-9fa2-45da-ac30-2968c3f5a8c8	GET	http://localhost:3000	/api/book/c8f46523-930e-49c2-8276-9f6ff37fcd60
20241219	20:11:49	b8f9f047-be1a-4eb6-949c-272d64b0263f	GET	http://localhost:3000	/api/book/c8f46523-930e-49c2-8276-9f6ff37fcd60
20241219	20:12:01	f62f8359-ff41-4795-a4e7-ae8746f926d4	GET	http://localhost:3000	/api/book/c8f46523-930e-49c2-8276-9f6ff37fcd60
20241219	20:12:16	96d190d3-358b-4a62-9ef3-4f6d0b3cbfb9	GET	http://localhost:3000	/api/book/c8f46523-930e-49c2-8276-9f6ff37fcd60
20241219	20:12:41	2c8b6710-29f6-42df-83bd-a3fb23e15250	GET	http://localhost:3000	/api/book/c8f46523-930e-49c2-8276-9f6ff37fcd60
20241219	20:12:56	f6d7eab9-e5a2-4c57-ba12-c010274e466f	GET	http://localhost:3000	/api/book/c8f46523-930e-49c2-8276-9f6ff37fcd60
20241221	09:48:28	c94b287e-78c1-466e-a30b-b633f0871ac1	GET	http://localhost:3000	/api/book/896d0c44-397b-469d-b701-dded84b7d2de
20241221	09:54:40	e9009d0c-7f50-4228-8905-222218090979	OPTIONS	http://localhost:3000	/api/book/create
20241221	09:54:41	8784321d-2a99-44a3-a760-1c40c36c8d9e	POST	http://localhost:3000	/api/book/create
20241221	09:54:50	b7d6f1bb-863c-45cd-af26-9f5d16c333b5	OPTIONS	http://localhost:3000	/api/book/create
20241221	09:54:50	4f67ea45-8d4b-4d1c-a08e-210d57de43c7	POST	http://localhost:3000	/api/book/create
